"","lagoslakeid","secchi","TP","chla","color","TN","nYears_secchi","nYears_TP","nYears_TN","nYears_color","nYears_chla","hu12_zoneid","hu4_zoneid"
"54",64,0.655,NA,46.15,NA,NA,10,4,4,4,4,"HU12_10093","HU4_55"
"55",65,2.7,13,NA,NA,760,4,4,4,4,4,"HU12_6131","HU4_38"
"56",66,1.1,44,5.34,NA,1156,1,1,1,1,1,"HU12_19159","HU4_36"
"57",67,3.96,NA,NA,NA,NA,28,6,6,6,6,"HU12_10963","HU4_25"
"58",68,1.8,80,NA,NA,720,1,1,1,1,1,"HU12_11168","HU4_29"
"59",69,5,NA,0.115,NA,278,2,2,2,2,2,"HU12_4759","HU4_38"
"60",70,0.95,47,25.7,NA,NA,1,1,1,1,1,"HU12_11531","HU4_29"
"61",71,0.3625,NA,98.475,NA,NA,4,4,4,4,4,"HU12_9323","HU4_61"
"62",72,0.46,NA,NA,NA,NA,9,9,9,9,9,"HU12_19622","HU4_53"
"63",73,2.5,NA,NA,NA,NA,14,7,7,7,7,"HU12_13942","HU4_26"
"64",74,0.2,NA,108.2,NA,NA,3,3,3,3,3,"HU12_10204","HU4_55"
"65",75,0.61,NA,62.5,NA,NA,15,13,13,13,13,"HU12_19624","HU4_53"
"66",76,3.8,11,8.7,NA,392,1,1,1,1,1,"HU12_14267","HU4_26"
"67",77,1.3,NA,NA,NA,NA,1,1,1,1,1,"HU12_17734","HU4_5"
"68",79,3.05,NA,NA,NA,NA,17,6,6,6,6,"HU12_11116","HU4_25"
"69",80,1.755,40,3.52,NA,1490,8,1,1,1,1,"HU12_14113","HU4_54"
"70",81,0.4,NA,NA,NA,NA,9,9,9,9,9,"HU12_16834","HU4_5"
"71",84,1.145,NA,14,NA,NA,20,9,9,9,9,"HU12_19632","HU4_53"
"72",87,0.15,NA,NA,NA,NA,2,4,4,4,4,"HU12_11556","HU4_29"
"73",91,0.665,45.1,71.675,NA,1410.75,2,2,2,2,2,"HU12_17804","HU4_3"
"74",92,3.5,6,1.44,NA,440,1,1,1,1,1,"HU12_14794","HU4_28"
"75",93,5.22,17,NA,NA,290,6,3,3,3,3,"HU12_14382","HU4_26"
"76",94,0.45,NA,58.775,NA,NA,6,6,6,6,6,"HU12_19559","HU4_53"
"77",95,1.445,280.5,28.65,NA,2600,2,2,2,2,2,"HU12_10396","HU4_53"
"78",99,0.3,22,2,NA,NA,1,1,1,1,1,"HU12_17187","HU4_7"
"79",100,1.1,70,NA,NA,930,1,1,1,1,1,"HU12_11168","HU4_29"
"80",103,0.855,NA,5.01,NA,NA,2,1,1,1,1,"HU12_9372","HU4_53"
"81",106,1.2575,NA,31.15,NA,NA,24,3,3,3,3,"HU12_11160","HU4_29"
"82",108,0.5,62,NA,NA,950,1,1,1,1,1,"HU12_11323","HU4_28"
"83",109,1.45,NA,6.5,NA,NA,3,3,3,3,3,"HU12_19630","HU4_53"
"84",110,0.15,NA,156.75,NA,NA,5,4,4,4,4,"HU12_19748","HU4_25"
"85",111,0.7,129,NA,NA,1000,1,1,1,1,1,"HU12_11021","HU4_29"
"86",114,3.8,11,2.77,NA,387,1,1,1,1,1,"HU12_14361","HU4_26"
"87",115,1.5,42,NA,NA,820,1,1,1,1,1,"HU12_11911","HU4_35"
"88",119,3,24,NA,NA,300,1,1,1,1,1,"HU12_14753","HU4_28"
"89",122,0.94488,NA,3.985,NA,NA,3,2,2,2,2,"HU12_11321","HU4_28"
"90",126,0.35,NA,NA,NA,NA,2,4,4,4,4,"HU12_11556","HU4_29"
"91",127,2.3225,NA,7,NA,NA,2,1,1,1,1,"HU12_19818","HU4_28"
"92",128,0.61,NA,17.7,NA,NA,15,9,9,9,9,"HU12_10670","HU4_53"
"93",131,1.7275,NA,NA,NA,NA,22,12,12,12,12,"HU12_10965","HU4_25"
"94",132,1.1,NA,NA,NA,NA,24,25,25,25,25,"HU12_17569","HU4_5"
"95",134,0.6,NA,NA,NA,NA,13,13,13,13,13,"HU12_10859","HU4_25"
"96",135,2,NA,NA,NA,NA,5,5,5,5,5,"HU12_17555","HU4_12"
"97",136,4,NA,NA,58,NA,1,1,1,1,1,"HU12_20321","HU4_5"
"98",137,1.1,78,NA,NA,840,1,1,1,1,1,"HU12_14412","HU4_26"
"99",138,0.75,595,27.35,NA,NA,1,1,1,1,1,"HU12_16738","HU4_10"
"100",139,0.75,103,59.2,NA,NA,1,1,1,1,1,"HU12_19617","HU4_55"
"101",142,0.95,NA,18.55,NA,NA,23,3,3,3,3,"HU12_11160","HU4_29"
"102",143,0.9,NA,7.25,NA,NA,3,2,2,2,2,"HU12_14007","HU4_54"
"103",146,1.4,49,6.21,NA,1030,1,1,1,1,1,"HU12_14171","HU4_26"
"104",147,2.5999999,NA,NA,NA,NA,7,9,9,9,9,"HU12_17624","HU4_5"
"105",149,1.98,50,NA,NA,1350,1,1,1,1,1,"HU12_14177","HU4_26"
"106",150,6,46,13.83,NA,859,1,1,1,1,1,"HU12_4677","HU4_38"
"107",155,3.3,20.5,NA,NA,610,2,3,3,3,3,"HU12_14267","HU4_26"
"108",156,1.17,55,18.55,NA,NA,7,4,4,4,4,"HU12_9998","HU4_53"
"109",158,2.7,NA,4.575,NA,NA,5,2,2,2,2,"HU12_17800","HU4_3"
"110",159,0.5,NA,NA,NA,NA,1,2,2,2,2,"HU12_17579","HU4_5"
"111",160,1.75,591,13.78,NA,4175,1,1,1,1,1,"HU12_11115","HU4_25"
"112",163,4.88,NA,2.45,NA,NA,10,7,7,7,7,"HU12_10781","HU4_25"
"113",164,2.9,15,NA,NA,NA,9,13,13,13,13,"HU12_14267","HU4_26"
"114",165,1.07,NA,23,NA,NA,3,3,3,3,3,"HU12_13989","HU4_54"
"115",166,0.46,NA,110.8,NA,NA,1,1,1,1,1,"HU12_10836","HU4_25"
"116",168,2.67,29,12.5,NA,NA,12,5,5,5,5,"HU12_13983","HU4_25"
"117",170,2.44999995,NA,NA,NA,NA,10,11,11,11,11,"HU12_20324","HU4_7"
"118",171,2.975,NA,3.415,NA,NA,14,5,5,5,5,"HU12_14742","HU4_28"
"119",172,1.9,22,5.61,NA,NA,1,2,2,2,2,"HU12_14554","HU4_25"
"120",173,0.6575,NA,45.8,NA,NA,16,16,16,16,16,"HU12_10859","HU4_25"
"121",174,5.1225,NA,NA,NA,NA,8,2,2,2,2,"HU12_14511","HU4_28"
"122",177,1.96,NA,NA,NA,NA,20,14,14,14,14,"HU12_10858","HU4_25"
"123",179,0.61,NA,NA,NA,NA,23,11,11,11,11,"HU12_10114","HU4_55"
"124",188,0.45,NA,49.825,NA,NA,8,8,8,8,8,"HU12_10858","HU4_25"
"125",191,0.705,NA,NA,NA,NA,17,7,7,7,7,"HU12_10858","HU4_25"
"126",192,2.6,29,NA,NA,630,1,1,1,1,1,"HU12_10987","HU4_29"
"127",193,1.5,13,1.3099999,NA,NA,1,1,1,1,1,"HU12_17545","HU4_7"
"128",194,2.075,NA,NA,NA,NA,8,8,8,8,8,"HU12_17569","HU4_5"
"129",195,1.6,19,NA,NA,NA,1,1,1,1,1,"HU12_17541","HU4_7"
"130",196,0.876,NA,16,NA,NA,6,7,7,7,7,"HU12_10530","HU4_25"
"131",197,1.22,NA,NA,NA,NA,17,15,15,15,15,"HU12_10850","HU4_25"
"132",199,0.535,NA,7.25,NA,NA,1,2,2,2,2,"HU12_10087","HU4_55"
"133",203,1.68,NA,33,NA,NA,17,13,13,13,13,"HU12_19632","HU4_53"
"134",205,8.5,NA,NA,NA,NA,25,27,27,27,27,"HU12_17552","HU4_7"
"135",208,5,19,0.96,NA,480,1,1,1,1,1,"HU12_14354","HU4_26"
"136",209,3.8,NA,NA,NA,NA,1,2,2,2,2,"HU12_17574","HU4_5"
"137",211,4,NA,NA,NA,NA,31,31,31,31,31,"HU12_17646","HU4_5"
"138",212,2.2,33,NA,NA,1110,2,3,3,3,3,"HU12_19762","HU4_25"
"139",213,1.68,NA,6,NA,NA,17,7,7,7,7,"HU12_14380","HU4_26"
"140",219,0.4,577,30.4,NA,NA,1,2,2,2,2,"HU12_11840","HU4_32"
"141",222,2.5,NA,17.6,NA,NA,3,3,3,3,3,"HU12_10608","HU4_53"
"142",225,2.3,17,3.0999999,NA,NA,1,1,1,1,1,"HU12_16743","HU4_7"
"143",226,3.95,15.5,NA,NA,440,4,4,4,4,4,"HU12_13963","HU4_25"
"144",227,4.55,11.5,NA,NA,305,2,4,4,4,4,"HU12_14714","HU4_28"
"145",228,0.76,NA,23,NA,NA,4,5,5,5,5,"HU12_10790","HU4_25"
"146",230,10.975,NA,NA,NA,NA,2,3,3,3,3,"HU12_19679","HU4_55"
"147",231,0.9,11.3999996,1.7,NA,NA,1,1,1,1,1,"HU12_17657","HU4_7"
"148",232,1,29.5,NA,NA,NA,1,2,2,2,2,"HU12_11551","HU4_29"
"149",236,1,NA,26,NA,NA,7,7,7,7,7,"HU12_10794","HU4_25"
"150",237,7.25,20,0.71,NA,NA,1,2,2,2,2,"HU12_14723","HU4_28"
"151",239,3.5,21,3.4000001,NA,NA,1,1,1,1,1,"HU12_17517","HU4_7"
"152",240,3.075,15,7.105,NA,NA,3,3,3,3,3,"HU12_14361","HU4_26"
"153",241,2.5,NA,NA,40,NA,27,27,27,27,27,"HU12_17553","HU4_7"
"154",242,4,13,1.3,NA,NA,1,1,1,1,1,"HU12_17522","HU4_7"
"155",246,5.64,6,NA,13.5,233,2,2,2,2,2,"HU12_17803","HU4_3"
"156",249,0.9,NA,NA,NA,NA,21,21,21,21,21,"HU12_16835","HU4_5"
"157",251,1.1,NA,39.95,NA,NA,14,6,6,6,6,"HU12_11160","HU4_29"
"158",252,3,NA,NA,NA,NA,2,3,3,3,3,"HU12_14735","HU4_28"
"159",256,1.6,NA,13.25,NA,NA,6,6,6,6,6,"HU12_11157","HU4_29"
"160",259,1.2475,NA,7.48,NA,NA,4,2,2,2,2,"HU12_14363","HU4_26"
"161",260,1.37,NA,5,NA,NA,17,7,7,7,7,"HU12_14379","HU4_26"
"162",263,1.8,NA,NA,NA,NA,1,1,1,1,1,"HU12_10858","HU4_25"
"163",265,8,11,NA,NA,300,1,1,1,1,1,"HU12_14735","HU4_28"
"164",266,2.5,13,2.27,NA,NA,1,1,1,1,1,"HU12_11542","HU4_29"
"165",268,3,NA,NA,NA,NA,6,9,9,9,9,"HU12_17661","HU4_7"
"166",269,0.8,69,NA,NA,1620,1,1,1,1,1,"HU12_11164","HU4_29"
"167",270,2.8194,18,NA,NA,NA,12,3,3,3,3,"HU12_11474","HU4_27"
"168",271,0.5,230,82,NA,NA,4,4,4,4,4,"HU12_10858","HU4_25"
"169",273,2.5146,23.5,NA,25,NA,2,2,2,2,2,"HU12_11225","HU4_27"
"170",279,1.98,NA,3.35,NA,NA,1,2,2,2,2,"HU12_19709","HU4_25"
"171",280,0.165,NA,NA,NA,NA,7,5,5,5,5,"HU12_10863","HU4_25"
"172",282,1.37,148,NA,NA,NA,9,2,2,2,2,"HU12_19632","HU4_53"
"173",283,0.775,NA,32.4475,NA,NA,13,12,12,12,12,"HU12_10865","HU4_25"
"174",284,3.3,NA,NA,NA,NA,9,5,5,5,5,"HU12_17800","HU4_3"
"175",288,2.3,NA,NA,NA,NA,1,2,2,2,2,"HU12_17633","HU4_5"
"176",291,0.6625,NA,71.8,NA,NA,2,2,2,2,2,"HU12_9982","HU4_55"
"177",292,3.05,30,NA,NA,590,6,1,1,1,1,"HU12_11016","HU4_29"
"178",295,2.13,NA,47.3,NA,NA,9,1,1,1,1,"HU12_14393","HU4_26"
"179",299,3.46,NA,4,NA,NA,11,6,6,6,6,"HU12_13951","HU4_25"
"180",300,1.68,25.25,NA,NA,NA,15,2,2,2,2,"HU12_10868","HU4_25"
"181",305,0.2925,NA,129,NA,NA,22,11,11,11,11,"HU12_10451","HU4_25"
"182",306,0.76,NA,66,NA,NA,13,3,3,3,3,"HU12_11074","HU4_25"
"183",307,0.2,NA,235,NA,NA,9,9,9,9,9,"HU12_19622","HU4_53"
"184",315,3.885,NA,4,NA,NA,25,8,8,8,8,"HU12_19762","HU4_25"
"185",316,1.7,NA,5.435,NA,NA,5,3,3,3,3,"HU12_14381","HU4_26"
"186",317,5.72,NA,2,NA,NA,20,13,13,13,13,"HU12_10666","HU4_53"
"187",322,4.25,4,1.28,NA,110,2,2,2,2,2,"HU12_14773","HU4_28"
"188",325,5.25,NA,NA,NA,NA,10,11,11,11,11,"HU12_17570","HU4_5"
"189",327,1.7,13,NA,NA,610,1,1,1,1,1,"HU12_10994","HU4_29"
"190",328,0.25,NA,NA,NA,NA,3,4,4,4,4,"HU12_9909","HU4_53"
"191",332,6.6999998,6,0.03,NA,NA,1,1,1,1,1,"HU12_17581","HU4_5"
"192",333,0.4,NA,NA,NA,NA,1,1,1,1,1,"HU12_9403","HU4_56"
"193",334,3.05,NA,NA,NA,NA,31,11,11,11,11,"HU12_19698","HU4_54"
"194",335,1.5475,NA,16,NA,NA,16,11,11,11,11,"HU12_19632","HU4_53"
"195",337,1.3,30,NA,NA,NA,1,1,1,1,1,"HU12_17569","HU4_5"
"196",338,0.65,NA,65.8,NA,NA,2,2,2,2,2,"HU12_9982","HU4_55"
"197",339,4.725,NA,3.25,NA,NA,6,6,6,6,6,"HU12_14499","HU4_25"
"198",341,0.7,253,8.33,NA,1420,1,1,1,1,1,"HU12_10964","HU4_25"
"199",342,3.8,29,NA,NA,620,1,1,1,1,1,"HU12_14354","HU4_26"
"200",343,3.025,NA,5.5,NA,NA,22,4,4,4,4,"HU12_19769","HU4_25"
"201",344,1.7526,36.5,3.45,NA,NA,14,1,1,1,1,"HU12_12112","HU4_32"
"202",345,1.07,NA,3.025,NA,NA,5,1,1,1,1,"HU12_14763","HU4_28"
"203",346,2.57,10,2.32,NA,299,2,1,1,1,1,"HU12_14177","HU4_26"
"204",348,2.59,22,NA,NA,420,3,3,3,3,3,"HU12_20126","HU4_28"
"205",349,0.5,122,NA,40,1343,1,1,1,1,1,"HU12_10690","HU4_53"
"206",350,2.6,16,NA,NA,617.5,1,2,2,2,2,"HU12_11322","HU4_28"
"207",351,2.4,NA,NA,NA,NA,3,4,4,4,4,"HU12_17608","HU4_5"
"208",352,4.35,NA,NA,NA,NA,2,5,5,5,5,"HU12_14739","HU4_28"
"209",356,1.15,NA,NA,NA,NA,14,14,14,14,14,"HU12_10850","HU4_25"
"210",358,1.4,NA,NA,NA,481,1,1,1,1,1,"HU12_14485","HU4_25"
"211",360,1.5,22,0.77,NA,NA,1,1,1,1,1,"HU12_17616","HU4_5"
"212",361,0.4575,NA,101.5,NA,NA,2,2,2,2,2,"HU12_19622","HU4_53"
"213",362,1.5,34,4.88,NA,590,1,1,1,1,1,"HU12_14345","HU4_26"
"214",363,0.2625,NA,115,NA,NA,12,5,5,5,5,"HU12_10068","HU4_57"
"215",367,3.4000001,NA,NA,NA,NA,1,1,1,1,1,"HU12_17734","HU4_5"
"216",368,2.2,NA,5.9275,NA,NA,4,2,2,2,2,"HU12_14378","HU4_26"
"217",369,1.45,314,19.5,NA,NA,3,1,1,1,1,"HU12_9993","HU4_53"
"218",370,1,NA,NA,78,NA,1,1,1,1,1,"HU12_17556","HU4_12"
"219",373,0.5,NA,61,NA,NA,5,5,5,5,5,"HU12_10859","HU4_25"
"220",375,0.9375,NA,21.4,NA,NA,12,12,12,12,12,"HU12_10865","HU4_25"
"221",380,2.44728,40,NA,NA,900,2,1,1,1,1,"HU12_14511","HU4_28"
"222",381,0.91,NA,NA,NA,NA,16,8,8,8,8,"HU12_14027","HU4_54"
"223",386,2.59,NA,NA,NA,NA,29,14,14,14,14,"HU12_11069","HU4_25"
"224",388,2.665,32.5,NA,NA,NA,5,2,2,2,2,"HU12_10829","HU4_25"
"225",392,1.1825,NA,NA,NA,NA,30,3,3,3,3,"HU12_10863","HU4_25"
"226",394,1.2,617,4.27,NA,1230,1,1,1,1,1,"HU12_10964","HU4_25"
"227",396,2,63,NA,NA,650,1,1,1,1,1,"HU12_14384","HU4_26"
"228",398,1.4,40,6.5,NA,NA,4,4,4,4,4,"HU12_10850","HU4_25"
"229",399,2,65,2.61,NA,610,1,1,1,1,1,"HU12_3997","HU4_38"
"230",401,0.225,NA,NA,NA,NA,1,5,5,5,5,"HU12_9483","HU4_53"
"231",402,1.35,NA,NA,NA,NA,4,5,5,5,5,"HU12_17538","HU4_7"
"232",403,0.895,NA,26.25,NA,NA,2,2,2,2,2,"HU12_10393","HU4_53"
"233",405,5.1,NA,2,NA,NA,31,2,2,2,2,"HU12_19770","HU4_25"
"234",407,0.61,NA,47.5,NA,NA,17,5,5,5,5,"HU12_11160","HU4_29"
"235",410,1.6,NA,NA,48,NA,10,10,10,10,10,"HU12_17540","HU4_7"
"236",412,0.39,NA,NA,NA,NA,8,6,6,6,6,"HU12_9400","HU4_56"
"237",413,1.35,NA,NA,NA,NA,19,17,17,17,17,"HU12_19567","HU4_53"
"238",417,0.7,131.5,64.995,NA,NA,1,2,2,2,2,"HU12_11837","HU4_32"
"239",418,4.32500005,NA,NA,NA,NA,28,21,21,21,21,"HU12_17570","HU4_5"
"240",421,0.9,44.5,NA,NA,NA,1,1,1,1,1,"HU12_11504","HU4_29"
"241",422,0.515,NA,37.25,NA,NA,2,2,2,2,2,"HU12_10399","HU4_53"
"242",423,0.7,39,NA,NA,800,1,1,1,1,1,"HU12_11169","HU4_29"
"243",425,4.3,26,4.11,NA,NA,13,5,5,5,5,"HU12_13983","HU4_25"
"244",429,1.7175,NA,11.5,NA,NA,12,8,8,8,8,"HU12_10491","HU4_54"
"245",431,0.2,NA,NA,NA,NA,2,2,2,2,2,"HU12_10981","HU4_25"
"246",435,3.5475,NA,4,NA,NA,18,7,7,7,7,"HU12_14534","HU4_25"
"247",436,3.2,NA,4,NA,NA,14,10,10,10,10,"HU12_10379","HU4_53"
"248",437,1.6383,NA,NA,NA,NA,10,4,4,4,4,"HU12_12281","HU4_37"
"249",439,0.8,NA,NA,NA,NA,4,4,4,4,4,"HU12_4848","HU4_38"
"250",440,0.46,NA,76.9,NA,NA,22,9,9,9,9,"HU12_10955","HU4_25"
"251",441,2.135,NA,12,NA,NA,6,4,4,4,4,"HU12_10939","HU4_25"
"252",442,3.51,NA,NA,NA,NA,17,8,8,8,8,"HU12_10969","HU4_29"
"253",444,1.142,NA,5.3,10,NA,2,2,2,2,2,"HU12_12619","HU4_30"
"254",445,1.3,49,5,NA,NA,1,1,1,1,1,"HU12_16625","HU4_10"
"255",446,2.76225,12,NA,NA,NA,6,3,3,3,3,"HU12_13234","HU4_24"
"256",447,0.6,NA,NA,NA,NA,19,19,19,19,19,"HU12_5069","HU4_46"
"257",448,3.3528,10,4,NA,800,1,2,2,2,2,"HU12_20082","HU4_31"
"258",449,1.2192,33,6,NA,1271,1,2,2,2,2,"HU12_13496","HU4_24"
"259",450,2.7,28,5.9,NA,648,1,1,1,1,1,"HU12_19519","HU4_13"
"260",451,0.7,NA,NA,NA,1246,4,4,4,4,4,"HU12_5140","HU4_48"
"261",452,2.74,NA,6,NA,NA,22,14,14,14,14,"HU12_19732","HU4_25"
"262",453,3.429,9,NA,15,280,3,1,1,1,1,"HU12_13234","HU4_24"
"263",454,3.05,NA,5.5,NA,NA,18,12,12,12,12,"HU12_10480","HU4_54"
"264",455,1.6,75.5,1.24,NA,937,2,2,2,2,2,"HU12_4389","HU4_38"
"265",456,0.55,122.5,NA,NA,1663.5,1,1,1,1,1,"HU12_11251","HU4_27"
"266",457,0.4,NA,86.85,NA,NA,4,4,4,4,4,"HU12_9959","HU4_53"
"267",459,0.79,NA,34.321427,NA,849,1,1,1,1,1,"HU12_7159","HU4_48"
"268",460,3.6225,NA,NA,NA,NA,24,4,4,4,4,"HU12_19766","HU4_25"
"269",461,3.66,NA,5,NA,NA,22,7,7,7,7,"HU12_10489","HU4_54"
"270",462,3.375,NA,3.65,NA,NA,28,8,8,8,8,"HU12_11065","HU4_25"
"271",464,2.6,10,3.9,NA,NA,1,1,1,1,1,"HU12_10771","HU4_25"
"272",465,2.17,NA,4.65,NA,NA,11,8,8,8,8,"HU12_10950","HU4_25"
"273",466,9.5,NA,NA,NA,NA,27,12,12,12,12,"HU12_17800","HU4_3"
"274",467,2,9,6.2,NA,500,1,1,1,1,1,"HU12_13981","HU4_25"
"275",468,1.37,NA,NA,NA,NA,31,9,9,9,9,"HU12_10114","HU4_55"
"276",469,0.905,NA,48.875,NA,NA,8,4,4,4,4,"HU12_10930","HU4_25"
"277",470,2.725,NA,NA,NA,NA,2,2,2,2,2,"HU12_16313","HU4_11"
"278",471,0.4725,NA,NA,NA,NA,8,9,9,9,9,"HU12_9419","HU4_56"
"279",472,0.35,387.93,68.45,NA,987,1,1,1,1,1,"HU12_9046","HU4_16"
"280",473,3.0861,6.5,3.4,NA,296.5,10,2,2,2,2,"HU12_13058","HU4_32"
"281",474,0.835,NA,NA,NA,NA,16,10,10,10,10,"HU12_9365","HU4_53"
"282",475,0.325,NA,NA,NA,NA,4,4,4,4,4,"HU12_9911","HU4_53"
"283",476,1,57,14.2,NA,NA,1,1,1,1,1,"HU12_10166","HU4_53"
"284",477,3.9975,NA,NA,NA,NA,26,15,15,15,15,"HU12_10990","HU4_29"
"285",478,0.2,NA,66.7,NA,NA,5,4,4,4,4,"HU12_10392","HU4_53"
"286",480,3.2766,13,NA,NA,NA,14,4,4,4,4,"HU12_12519","HU4_39"
"287",481,3.2004,NA,6.3,NA,NA,7,3,3,3,3,"HU12_6637","HU4_37"
"288",482,3.2,NA,NA,NA,NA,17,14,14,14,14,"HU12_10486","HU4_54"
"289",483,1.7,59,NA,NA,679,7,7,7,7,7,"HU12_19015","HU4_38"
"290",484,2.667,NA,NA,NA,NA,10,4,4,4,4,"HU12_12498","HU4_39"
"291",485,1.22,NA,52.55,NA,NA,22,4,4,4,4,"HU12_11120","HU4_25"
"292",487,0.8,53,NA,NA,NA,3,3,3,3,3,"HU12_12694","HU4_30"
"293",489,2.82,NA,5.6,NA,NA,8,3,3,3,3,"HU12_10833","HU4_25"
"294",490,2.55,14.75,NA,NA,NA,25,22,22,22,22,"HU12_11554","HU4_29"
"295",491,0.46,NA,65,NA,NA,23,7,7,7,7,"HU12_10086","HU4_55"
"296",492,3.6,12,13,NA,575,1,1,1,1,1,"HU12_6506","HU4_37"
"297",493,3.4675,NA,4,NA,NA,20,15,15,15,15,"HU12_10477","HU4_54"
"298",494,0.8375,NA,NA,NA,NA,8,9,9,9,9,"HU12_7712","HU4_44"
"299",496,0.5,NA,NA,NA,NA,4,5,5,5,5,"HU12_6991","HU4_46"
"300",497,3.1,12,NA,NA,330,1,1,1,1,1,"HU12_16719","HU4_11"
"301",498,1.4,45,39.55,NA,874,1,1,1,1,1,"HU12_9030","HU4_16"
