"","lagoslakeid","tp","tn_combined","chla","sampledate","sampleyear","samplemonth","monthday","eventida1087","programname","secchi","var_num","hu4_zoneid","groups","random25_holdout","random75_holdout","hu4_ag50_holdout","hu4_random50_holdout","hu4_strat75_holdout","cluster_strat75_holdout","cluster_random50_holdout"
"29",31,NA,NA,NA,"2003-08-11",NA,NA,NA,NA,NA,5.3,1,"HU4_9",3,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"30",32,16,NA,1.3,"2004-06-22",2004,6,622,100,"MA_DEP_CHEM",5.4,3,"HU4_10",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"31",33,22,NA,11,"1999-07-13",1999,7,713,104,"MA_DEP_CHEM",2.4,3,"HU4_9",1,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"32",34,27,560,6.5,"2009-06-24",2009,6,624,111,"MA_DEP_2005_2010",2.1,4,"HU4_10",1,TRUE,TRUE,NA,FALSE,TRUE,FALSE,NA
"33",35,43,NA,1.4,"2000-07-19",2000,7,719,118,"MA_DEP_CHEM",1.25,3,"HU4_7",3,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"34",36,NA,NA,6.7,"2003-08-26",2003,8,826,121,"MA_DEP_CHEM",5.8,2,"HU4_11",3,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA
"35",37,NA,NA,35.1,"2003-08-20",2003,8,820,126,"MA_DEP_CHEM",1.4,2,"HU4_7",1,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA
"36",38,34,NA,4.3,"2000-07-18",2000,7,718,130,"MA_DEP_CHEM",1.5,3,"HU4_7",1,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"37",39,NA,NA,NA,"2001-06-27",NA,NA,NA,NA,NA,2,1,"HU4_10",1,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"38",40,9,NA,NA,"2005-09-06",2005,9,906,138,"MA_DEP_2005_2010",5.5,2,"HU4_7",2,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"39",41,17,NA,19.4,"2002-08-07",2002,8,807,140,"MA_DEP_CHEM",2.4,3,"HU4_10",1,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"40",42,NA,NA,4,"2003-08-26",2003,8,826,143,"MA_DEP_CHEM",3.8,2,"HU4_11",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"41",44,45,NA,63,"2002-07-30",2002,7,730,144,"MA_DEP_CHEM",0.6,3,"HU4_10",3,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA
"42",45,NA,NA,11.9,"2003-07-09",2003,7,709,146,"MA_DEP_CHEM",2.05,2,"HU4_7",3,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"43",46,NA,NA,7.5,"2003-09-10",2003,9,910,147,"MA_DEP_CHEM",3.2,2,"HU4_10",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"44",47,NA,430,NA,"2003-08-14",2003,8,814,148,"MA_DEP_CHEM",1.6,2,"HU4_7",1,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"45",48,5,520,4.4,"2003-09-10",2003,9,910,149,"MA_DEP_CHEM",4.5,4,"HU4_10",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"46",49,9,NA,1,"2000-07-19",2000,7,719,152,"MA_DEP_CHEM",2.2,3,"HU4_7",2,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA
"47",50,18,NA,7,"2003-06-17",2003,6,617,158,"MA_DEP_CHEM",3.3,3,"HU4_7",3,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"48",51,10,NA,NA,"1996-08-07",1996,8,807,164,"MA_DEP_CHEM",NA,1,"HU4_7",1,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA
"49",52,426,1469,21.2,"2007-07-12",2007,7,712,169,"NJ_DEP_CHEM",0.6,4,"HU4_13",3,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"50",53,38.41,395,25.5,"2005-08-10",2005,8,810,171,"NJ_DEP_CHEM",0.9,4,"HU4_12",1,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"51",54,NA,485,3.72,"2007-09-11",2007,9,911,175,"NJ_DEP_CHEM",0.8,3,"HU4_16",3,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"52",55,38.41,640,44.7,"2005-08-17",2005,8,817,177,"NJ_DEP_CHEM",1.5,4,"HU4_16",2,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"53",56,16,675,3.23,"2009-06-16",2009,6,616,180,"NJ_DEP_CHEM",1.1,4,"HU4_13",1,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"54",57,62.56,1115,5.3,"2005-07-20",2005,7,720,182,"NJ_DEP_CHEM",0.5,4,"HU4_16",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"55",59,268,NA,54.5,"1995-07-13",1995,7,713,188,"MN_MPCA_CHEM",NA,2,"HU4_55",1,FALSE,TRUE,NA,TRUE,FALSE,FALSE,NA
"56",62,95,1240,40.1,"1995-07-11",1995,7,711,199,"MN_MPCA_CHEM",0.5,4,"HU4_53",1,TRUE,TRUE,NA,FALSE,TRUE,FALSE,NA
"57",63,20,561,NA,"2007-08-03",2007,8,803,261,"EPA_NLA_CHEM",1.6,3,"HU4_26",1,FALSE,TRUE,NA,TRUE,TRUE,FALSE,NA
"58",64,84,1210,29.9,"1996-06-24",1996,6,624,270,"MN_MPCA_CHEM",1.6,4,"HU4_55",3,FALSE,TRUE,NA,TRUE,FALSE,TRUE,NA
"59",65,10,546,1.88,"1994-08-16",1994,8,816,295,"IN_chemistry",3.3,4,"HU4_38",2,FALSE,TRUE,NA,TRUE,FALSE,TRUE,NA
"60",67,54,920,7.69,"1991-07-11",1991,7,711,308,"MN_MPCA_CHEM",5.1,4,"HU4_25",2,TRUE,TRUE,NA,FALSE,TRUE,FALSE,NA
"61",69,23,304,0.1,"2001-07-31",2001,7,731,338,"IN_chemistry",5.9,4,"HU4_38",3,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA
"62",70,47,NA,25.7,"2007-07-29",2007,7,729,339,"WI_DNR_NUTRIENT",0.95,3,"HU4_29",2,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"63",71,390,NA,186,"1990-06-20",1990,6,620,348,"MN_MPCA_CHEM",0.3,3,"HU4_61",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"64",72,914,2990,325,"1995-07-31",1995,7,731,389,"MN_MPCA_CHEM",0.3,4,"HU4_53",1,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"65",73,7,345,1.64,"1991-08-01",1991,8,801,491,"MN_MPCA_CHEM",NA,3,"HU4_26",NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"66",74,161,1870,62.9,"1994-07-20",1994,7,720,538,"MN_MPCA_CHEM",0.75,4,"HU4_55",3,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"67",75,413,2990,164,"1995-07-31",1995,7,731,552,"MN_MPCA_CHEM",0.5,4,"HU4_53",1,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA
"68",79,10,920,7.05,"1991-07-08",1991,7,708,757,"MN_MPCA_CHEM",2,4,"HU4_25",2,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA
"69",80,NA,NA,6,"2011-07-07",2011,7,707,783,"MN_MPCA_CHEM_1999_2012",1.2,2,"HU4_54",3,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA
"70",81,29,246,NA,"2007-08-23",2007,8,823,791,"EPA_NLA_CHEM",0.85,3,"HU4_5",1,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA
"71",84,NA,NA,2.8,"2000-06-21",2000,6,621,880,"MN_MPCA_CHEM_1999_2012",2,2,"HU4_53",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"72",87,754,3412,NA,"1996-07-31",1996,7,731,963,"WI_DNR_NUTRIENT",0.2,3,"HU4_29",3,TRUE,TRUE,NA,TRUE,TRUE,FALSE,NA
"73",88,NA,NA,NA,"2007-06-22",NA,NA,NA,NA,NA,1.27,1,"HU4_26",1,FALSE,TRUE,NA,TRUE,FALSE,TRUE,NA
"74",90,15,674,2.2,"1992-07-28",1992,7,728,980,"MN_MPCA_CHEM",NA,3,"HU4_28",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"75",93,NA,NA,NA,"2005-06-21",NA,NA,NA,NA,NA,5.49,1,"HU4_26",2,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"76",94,89,NA,61.3,"1996-07-23",1996,7,723,1017,"MN_MPCA_CHEM",0.6,3,"HU4_53",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"77",95,360,2000,1,"1993-06-15",1993,6,615,1032,"MN_MPCA_CHEM",3.35,4,"HU4_53",2,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA
"78",97,NA,NA,NA,"1994-08-02",1994,8,802,1044,"EPA_EMAP_CHEM",NA,0,"HU4_7",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"79",99,22,NA,2,"2002-07-03",2002,7,703,1050,"VT_DWQ_NUTRIENT",0.3,3,"HU4_7",3,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA
"80",102,NA,NA,NA,"1993-08-12",NA,NA,NA,NA,NA,1.31064,1,"HU4_54",2,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"81",103,NA,NA,4.94,"2010-06-28",2010,6,628,1057,"MN_MPCA_CHEM_1999_2012",1.1,2,"HU4_53",1,TRUE,TRUE,NA,FALSE,FALSE,TRUE,NA
"82",104,NA,NA,NA,"2005-07-11",NA,NA,NA,NA,NA,3.73,1,"HU4_26",NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA
"83",106,NA,NA,7.48,"2009-07-01",2009,7,701,1072,"MN_MPCA_CHEM_1999_2012",3.05,2,"HU4_29",2,FALSE,TRUE,NA,TRUE,FALSE,FALSE,NA
"84",109,NA,NA,9,"2006-06-18",2006,6,618,1095,"MN_MPCA_CHEM_1999_2012",0.9,2,"HU4_53",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"85",110,NA,NA,109,"2005-06-20",2005,6,620,1149,"MN_MPCA_CHEM_1999_2012",0.46,2,"HU4_25",1,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA
"86",113,314,NA,82.8,"1995-07-13",1995,7,713,1243,"MN_MPCA_CHEM",NA,2,"HU4_55",1,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"87",114,11,387,2.77,"1991-07-18",1991,7,718,1250,"MN_MPCA_CHEM",3.8,4,"HU4_26",2,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA
"88",116,29,796,NA,"2002-08-22",2002,8,822,1254,"WI_DNR_NUTRIENT",NA,2,"HU4_27",1,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA
"89",122,NA,1178,5.2,"2010-06-22",2010,6,622,1267,"MN_MPCA_CHEM_1999_2012",0.75,3,"HU4_28",1,FALSE,TRUE,NA,TRUE,TRUE,FALSE,NA
"90",123,NA,NA,NA,"1996-07-29",NA,NA,NA,NA,NA,2.5146,1,"HU4_32",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"91",124,NA,NA,NA,"1994-06-29",NA,NA,NA,NA,NA,1.8,1,"HU4_5",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"92",126,220,2818,NA,"1993-06-15",1993,6,615,1273,"WI_DNR_NUTRIENT",0.3,3,"HU4_29",1,FALSE,TRUE,NA,TRUE,FALSE,TRUE,NA
"93",127,NA,NA,10,"2010-06-17",2010,6,617,1294,"MN_MPCA_CHEM_1999_2012",3,2,"HU4_28",3,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA
"94",128,128,1710,12.2,"1992-07-14",1992,7,714,1313,"MN_MPCA_CHEM",0.5,4,"HU4_53",1,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA
"95",130,NA,NA,NA,"2005-06-26",NA,NA,NA,NA,NA,2.59,1,"HU4_26",1,FALSE,TRUE,NA,TRUE,TRUE,FALSE,NA
"96",131,76,2230,NA,"1992-07-07",1992,7,707,1354,"MN_MPCA_CHEM",3.05,3,"HU4_25",1,TRUE,TRUE,NA,FALSE,TRUE,FALSE,NA
"97",132,42.2000008,NA,NA,"2007-07-18",2007,7,718,1502,"VT_DWQ_NUTRIENT",1,2,"HU4_5",3,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"98",134,700,NA,85,"1990-07-23",1990,7,723,1516,"MN_MPCA_CHEM",0.4,3,"HU4_25",2,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA
"99",135,12,NA,5,"2004-07-26",2004,7,726,1673,"VT_DWQ_NUTRIENT",2,3,"HU4_12",3,TRUE,FALSE,NA,TRUE,FALSE,TRUE,NA
"100",136,NA,NA,NA,"2003-06-20",2003,6,620,1674,"VT_DWQ_NUTRIENT",4,1,"HU4_5",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"101",139,103,NA,59.2,"1997-08-15",1997,8,815,1680,"MN_MPCA_CHEM",0.75,3,"HU4_55",2,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"102",140,NA,NA,2.6,"2004-08-04",2004,8,804,1683,"MI_DEQ_LWQA",NA,1,"HU4_37",2,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA
"103",142,NA,NA,12,"2009-07-01",2009,7,701,1689,"MN_MPCA_CHEM_1999_2012",1.68,2,"HU4_29",2,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA
"104",143,NA,NA,8,"2008-06-25",2008,6,625,1709,"MN_MPCA_CHEM_1999_2012",1.22,2,"HU4_54",1,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"105",146,49,1030,6.21,"1991-07-24",1991,7,724,1720,"MN_MPCA_CHEM",1.4,4,"HU4_26",2,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"106",147,NA,NA,NA,"1990-07-02",1990,7,702,1756,"VT_DWQ_NUTRIENT",3,1,"HU4_5",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"107",148,NA,NA,NA,"2005-07-27",NA,NA,NA,NA,NA,6.86,1,"HU4_26",1,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA
"108",149,NA,NA,NA,"2002-06-28",NA,NA,NA,NA,NA,1.98,1,"HU4_26",2,FALSE,TRUE,NA,TRUE,FALSE,TRUE,NA
"109",150,46,859,13.83,"2006-08-17",2006,8,817,1768,"IN_chemistry",6,4,"HU4_38",1,TRUE,TRUE,NA,TRUE,FALSE,TRUE,NA
"110",151,NA,NA,NA,"2006-07-03",NA,NA,NA,NA,NA,4.11,1,"HU4_26",3,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA
"111",152,228,NA,9.13,"1998-08-05",1998,8,805,1772,"MN_MPCA_CHEM",NA,2,"HU4_55",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"112",154,400,1437,NA,"1993-08-12",1993,8,812,1776,"WI_DNR_NUTRIENT",NA,2,"HU4_55",3,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"113",156,63,4760,22.1,"1990-06-26",1990,6,626,1795,"MN_MPCA_CHEM",1.1,4,"HU4_53",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"114",159,NA,NA,NA,"2001-06-29",2001,6,629,1854,"VT_DWQ_NUTRIENT",0.5,1,"HU4_5",3,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA
"115",160,806,5110,18.3,"1996-07-02",1996,7,702,1859,"MN_MPCA_CHEM",1.8,4,"HU4_25",4,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"116",162,NA,NA,NA,"1992-07-08",NA,NA,NA,NA,NA,9.2964,1,"HU4_25",2,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA
"117",163,10,490,2.21,"1997-08-27",1997,8,827,1862,"MN_MPCA_CHEM",5.5,4,"HU4_25",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"118",164,21,587,5.75,"1990-08-08",1990,8,808,1975,"MN_MPCA_CHEM",2.9,4,"HU4_26",2,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"119",165,NA,NA,18,"2008-08-06",2008,8,806,1996,"MN_MPCA_CHEM_1999_2012",1.22,2,"HU4_54",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"120",166,NA,NA,110.8,"2009-06-17",2009,6,617,2010,"MN_MPCA_CHEM_1999_2012",0.46,2,"HU4_25",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"121",168,33,840,8.41,"1994-06-21",1994,6,621,2023,"MN_MPCA_CHEM",1.8,4,"HU4_25",1,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"122",170,NA,NA,NA,"1990-07-19",1990,7,719,2103,"VT_DWQ_NUTRIENT",2,1,"HU4_7",3,TRUE,FALSE,NA,FALSE,TRUE,TRUE,NA
"123",171,10,NA,1.67,"1998-06-16",1998,6,616,2112,"MN_MPCA_CHEM",3.4,3,"HU4_28",2,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA
"124",172,26,705,6.14,"1997-06-18",1997,6,618,2138,"MN_MPCA_CHEM",2.2,4,"HU4_25",4,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"125",173,150,NA,20,"1990-07-18",1990,7,718,2148,"MN_MPCA_CHEM",0.9,3,"HU4_25",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"126",174,NA,NA,2,"2009-07-29",2009,7,729,2318,"MN_MPCA_CHEM_1999_2012",5.2,2,"HU4_28",1,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"127",176,NA,NA,NA,"2005-06-16",NA,NA,NA,NA,NA,0.15,1,"HU4_57",3,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"128",179,670,5180,130,"1991-07-09",1991,7,709,2495,"MN_MPCA_CHEM",0.7,4,"HU4_55",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"129",180,489,NA,179,"1995-07-13",1995,7,713,2523,"MN_MPCA_CHEM",NA,2,"HU4_55",2,TRUE,TRUE,NA,TRUE,TRUE,FALSE,NA
"130",185,NA,NA,NA,"1993-07-14",NA,NA,NA,NA,NA,1.83,1,"HU4_26",1,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
"131",187,NA,NA,NA,"2005-07-25",NA,NA,NA,NA,NA,1.68,1,"HU4_26",1,TRUE,TRUE,NA,TRUE,TRUE,FALSE,NA
"132",188,200,NA,50,"1990-07-23",1990,7,723,2540,"MN_MPCA_CHEM",0.3,3,"HU4_25",2,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"133",189,249,3530,104,"1995-07-13",1995,7,713,2581,"MN_MPCA_CHEM",NA,3,"HU4_55",1,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA
"134",191,NA,1270,37.4,"2006-06-20",2006,6,620,2614,"MN_MPCA_CHEM_1999_2012",1.2,3,"HU4_25",1,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"135",193,13,NA,1.3099999,"2002-07-17",2002,7,717,2685,"VT_DWQ_NUTRIENT",1.5,3,"HU4_7",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"136",194,NA,NA,NA,"1990-08-08",1990,8,808,2715,"VT_DWQ_NUTRIENT",1.5,1,"HU4_5",2,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"137",195,19,NA,NA,"1996-07-16",1996,7,716,2727,"VT_DWQ_NUTRIENT",1.6,2,"HU4_7",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"138",196,NA,NA,20,"1999-06-25",1999,6,625,2730,"MN_MPCA_CHEM_1999_2012",0.76,2,"HU4_25",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"139",197,NA,NA,5.7,"1999-06-16",1999,6,616,2893,"MN_MPCA_CHEM_1999_2012",2.44,2,"HU4_25",2,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA
"140",198,5,NA,0.5,"2001-06-21",2001,6,621,2958,"VT_DWQ_NUTRIENT",NA,2,"HU4_7",3,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA
"141",199,NA,NA,2,"2008-07-13",2008,7,713,2971,"MN_MPCA_CHEM_1999_2012",0.61,2,"HU4_55",1,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA
"142",200,NA,NA,19,"2011-06-21",2011,6,621,2975,"MN_MPCA_CHEM_1999_2012",0.5,2,"HU4_25",1,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"143",203,60,NA,15,"1991-06-19",1991,6,619,2995,"MN_MPCA_CHEM",2,3,"HU4_53",2,TRUE,TRUE,NA,FALSE,FALSE,TRUE,NA
"144",205,6.1199999,NA,NA,"2006-07-20",2006,7,720,3198,"VT_DWQ_NUTRIENT",6.0100002,2,"HU4_7",3,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA
"145",209,12,NA,1.3,"2003-08-29",2003,8,829,3231,"VT_DWQ_NUTRIENT",NA,2,"HU4_5",1,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA
"146",211,8,715,3.9400001,"1990-06-22",1990,6,622,3998,"VT_DWQ_NUTRIENT",2.9000001,4,"HU4_5",NA,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"147",213,12,460,2.88,"1995-06-21",1995,6,621,6406,"MN_MPCA_CHEM",2.7,4,"HU4_26",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"148",217,12,400,3,"2000-07-10",2000,7,710,6454,"MN_GPR_CHEM",NA,3,"HU4_28",2,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA
"149",219,399,NA,17.2,"2008-06-18",2008,6,618,6491,"WI_DNR_NUTRIENT",0.4,3,"HU4_32",1,TRUE,TRUE,NA,FALSE,TRUE,FALSE,NA
"150",222,NA,NA,4,"2009-07-15",2009,7,715,6509,"MN_MPCA_CHEM_1999_2012",1.8,2,"HU4_53",2,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA
"151",223,NA,NA,NA,"2011-09-13",NA,NA,NA,NA,NA,0.6,1,"HU4_26",3,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
