"lagoslakeid","tp","tn_combined","chla","sampledate","sampleyear","samplemonth","monthday","eventida1087","programname","secchi","var_num","hu4_zoneid","random25_holdout","random75_holdout","hu4_ag50_holdout","hu4_random50_holdout","hu4_strat75_holdout"
81,29,246,NA,2007-08-23,2007,8,"0823",791,"EPA_NLA_CHEM",0.85,3,"HU4_5",FALSE,TRUE,FALSE,TRUE,FALSE
84,NA,NA,2.8,2000-06-21,2000,6,"0621",880,"MN_MPCA_CHEM_1999_2012",2,2,"HU4_53",FALSE,TRUE,TRUE,TRUE,TRUE
87,754,3412,NA,1996-07-31,1996,7,"0731",963,"WI_DNR_NUTRIENT",0.2,3,"HU4_29",FALSE,FALSE,FALSE,TRUE,TRUE
88,NA,NA,NA,2007-06-22,NA,NA,NA,NA,NA,1.27,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
90,15,674,2.2,1992-07-28,1992,7,"0728",980,"MN_MPCA_CHEM",NA,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,TRUE
93,NA,NA,NA,2005-06-21,NA,NA,NA,NA,NA,5.49,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
94,89,NA,61.3,1996-07-23,1996,7,"0723",1017,"MN_MPCA_CHEM",0.6,3,"HU4_53",TRUE,TRUE,TRUE,TRUE,TRUE
95,360,2000,1,1993-06-15,1993,6,"0615",1032,"MN_MPCA_CHEM",3.35,4,"HU4_53",FALSE,FALSE,TRUE,TRUE,TRUE
97,NA,NA,NA,1994-08-02,1994,8,"0802",1044,"EPA_EMAP_CHEM",NA,0,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
99,22,NA,2,2002-07-03,2002,7,"0703",1050,"VT_DWQ_NUTRIENT",0.3,3,"HU4_7",TRUE,FALSE,FALSE,TRUE,TRUE
102,NA,NA,NA,1993-08-12,NA,NA,NA,NA,NA,1.31064,1,"HU4_54",TRUE,TRUE,TRUE,TRUE,TRUE
103,NA,NA,4.94,2010-06-28,2010,6,"0628",1057,"MN_MPCA_CHEM_1999_2012",1.1,2,"HU4_53",FALSE,TRUE,TRUE,TRUE,TRUE
104,NA,NA,NA,2005-07-11,NA,NA,NA,NA,NA,3.73,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,FALSE
106,NA,NA,7.48,2009-07-01,2009,7,"0701",1072,"MN_MPCA_CHEM_1999_2012",3.05,2,"HU4_29",FALSE,TRUE,FALSE,TRUE,TRUE
109,NA,NA,9,2006-06-18,2006,6,"0618",1095,"MN_MPCA_CHEM_1999_2012",0.9,2,"HU4_53",TRUE,TRUE,TRUE,TRUE,FALSE
110,NA,NA,109,2005-06-20,2005,6,"0620",1149,"MN_MPCA_CHEM_1999_2012",0.46,2,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
113,314,NA,82.8,1995-07-13,1995,7,"0713",1243,"MN_MPCA_CHEM",NA,2,"HU4_55",FALSE,FALSE,TRUE,TRUE,TRUE
114,11,387,2.77,1991-07-18,1991,7,"0718",1250,"MN_MPCA_CHEM",3.8,4,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
116,29,796,NA,2002-08-22,2002,8,"0822",1254,"WI_DNR_NUTRIENT",NA,2,"HU4_27",FALSE,TRUE,FALSE,FALSE,TRUE
122,NA,1178,5.2,2010-06-22,2010,6,"0622",1267,"MN_MPCA_CHEM_1999_2012",0.75,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,TRUE
123,NA,NA,NA,1996-07-29,NA,NA,NA,NA,NA,2.5146,1,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
124,NA,NA,NA,1994-06-29,NA,NA,NA,NA,NA,1.8,1,"HU4_5",FALSE,FALSE,FALSE,TRUE,FALSE
126,220,2818,NA,1993-06-15,1993,6,"0615",1273,"WI_DNR_NUTRIENT",0.3,3,"HU4_29",FALSE,TRUE,FALSE,TRUE,TRUE
127,NA,NA,10,2010-06-17,2010,6,"0617",1294,"MN_MPCA_CHEM_1999_2012",3,2,"HU4_28",FALSE,TRUE,FALSE,FALSE,TRUE
128,128,1710,12.2,1992-07-14,1992,7,"0714",1313,"MN_MPCA_CHEM",0.5,4,"HU4_53",FALSE,TRUE,TRUE,TRUE,TRUE
130,NA,NA,NA,2005-06-26,NA,NA,NA,NA,NA,2.59,1,"HU4_26",FALSE,FALSE,FALSE,FALSE,TRUE
131,76,2230,NA,1992-07-07,1992,7,"0707",1354,"MN_MPCA_CHEM",3.05,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
132,42.2000008,NA,NA,2007-07-18,2007,7,"0718",1502,"VT_DWQ_NUTRIENT",1,2,"HU4_5",FALSE,FALSE,FALSE,TRUE,TRUE
134,700,NA,85,1990-07-23,1990,7,"0723",1516,"MN_MPCA_CHEM",0.4,3,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
135,12,NA,5,2004-07-26,2004,7,"0726",1673,"VT_DWQ_NUTRIENT",2,3,"HU4_12",FALSE,TRUE,FALSE,TRUE,FALSE
136,NA,NA,NA,2003-06-20,2003,6,"0620",1674,"VT_DWQ_NUTRIENT",4,1,"HU4_5",FALSE,TRUE,FALSE,TRUE,TRUE
139,103,NA,59.2,1997-08-15,1997,8,"0815",1680,"MN_MPCA_CHEM",0.75,3,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
140,NA,NA,2.6,2004-08-04,2004,8,"0804",1683,"MI_DEQ_LWQA",NA,1,"HU4_37",FALSE,FALSE,TRUE,TRUE,FALSE
142,NA,NA,12,2009-07-01,2009,7,"0701",1689,"MN_MPCA_CHEM_1999_2012",1.68,2,"HU4_29",FALSE,TRUE,FALSE,TRUE,FALSE
143,NA,NA,8,2008-06-25,2008,6,"0625",1709,"MN_MPCA_CHEM_1999_2012",1.22,2,"HU4_54",FALSE,TRUE,TRUE,TRUE,TRUE
146,49,1030,6.21,1991-07-24,1991,7,"0724",1720,"MN_MPCA_CHEM",1.4,4,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
147,NA,NA,NA,1990-07-02,1990,7,"0702",1756,"VT_DWQ_NUTRIENT",3,1,"HU4_5",TRUE,FALSE,FALSE,TRUE,TRUE
148,NA,NA,NA,2005-07-27,NA,NA,NA,NA,NA,6.86,1,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
149,NA,NA,NA,2002-06-28,NA,NA,NA,NA,NA,1.98,1,"HU4_26",FALSE,FALSE,FALSE,FALSE,TRUE
150,46,859,13.83,2006-08-17,2006,8,"0817",1768,"IN_chemistry",6,4,"HU4_38",FALSE,FALSE,TRUE,FALSE,TRUE
151,NA,NA,NA,2006-07-03,NA,NA,NA,NA,NA,4.11,1,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
152,228,NA,9.13,1998-08-05,1998,8,"0805",1772,"MN_MPCA_CHEM",NA,2,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
154,400,1437,NA,1993-08-12,1993,8,"0812",1776,"WI_DNR_NUTRIENT",NA,2,"HU4_55",TRUE,TRUE,TRUE,TRUE,TRUE
156,63,4760,22.1,1990-06-26,1990,6,"0626",1795,"MN_MPCA_CHEM",1.1,4,"HU4_53",FALSE,TRUE,TRUE,TRUE,TRUE
159,NA,NA,NA,2001-06-29,2001,6,"0629",1854,"VT_DWQ_NUTRIENT",0.5,1,"HU4_5",FALSE,FALSE,FALSE,TRUE,FALSE
160,806,5110,18.3,1996-07-02,1996,7,"0702",1859,"MN_MPCA_CHEM",1.8,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
162,NA,NA,NA,1992-07-08,NA,NA,NA,NA,NA,9.2964,1,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
163,10,490,2.21,1997-08-27,1997,8,"0827",1862,"MN_MPCA_CHEM",5.5,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
164,21,587,5.75,1990-08-08,1990,8,"0808",1975,"MN_MPCA_CHEM",2.9,4,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
165,NA,NA,18,2008-08-06,2008,8,"0806",1996,"MN_MPCA_CHEM_1999_2012",1.22,2,"HU4_54",FALSE,TRUE,TRUE,TRUE,TRUE
166,NA,NA,110.8,2009-06-17,2009,6,"0617",2010,"MN_MPCA_CHEM_1999_2012",0.46,2,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
168,33,840,8.41,1994-06-21,1994,6,"0621",2023,"MN_MPCA_CHEM",1.8,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
170,NA,NA,NA,1990-07-19,1990,7,"0719",2103,"VT_DWQ_NUTRIENT",2,1,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
171,10,NA,1.67,1998-06-16,1998,6,"0616",2112,"MN_MPCA_CHEM",3.4,3,"HU4_28",TRUE,TRUE,FALSE,FALSE,FALSE
172,26,705,6.14,1997-06-18,1997,6,"0618",2138,"MN_MPCA_CHEM",2.2,4,"HU4_25",TRUE,TRUE,FALSE,FALSE,TRUE
173,150,NA,20,1990-07-18,1990,7,"0718",2148,"MN_MPCA_CHEM",0.9,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
174,NA,NA,2,2009-07-29,2009,7,"0729",2318,"MN_MPCA_CHEM_1999_2012",5.2,2,"HU4_28",TRUE,FALSE,FALSE,FALSE,TRUE
176,NA,NA,NA,2005-06-16,NA,NA,NA,NA,NA,0.15,1,"HU4_57",FALSE,TRUE,TRUE,FALSE,TRUE
179,670,5180,130,1991-07-09,1991,7,"0709",2495,"MN_MPCA_CHEM",0.7,4,"HU4_55",FALSE,TRUE,TRUE,TRUE,FALSE
180,489,NA,179,1995-07-13,1995,7,"0713",2523,"MN_MPCA_CHEM",NA,2,"HU4_55",FALSE,FALSE,TRUE,TRUE,TRUE
185,NA,NA,NA,1993-07-14,NA,NA,NA,NA,NA,1.83,1,"HU4_26",TRUE,TRUE,FALSE,FALSE,FALSE
187,NA,NA,NA,2005-07-25,NA,NA,NA,NA,NA,1.68,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,FALSE
188,200,NA,50,1990-07-23,1990,7,"0723",2540,"MN_MPCA_CHEM",0.3,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
189,249,3530,104,1995-07-13,1995,7,"0713",2581,"MN_MPCA_CHEM",NA,3,"HU4_55",FALSE,FALSE,TRUE,TRUE,FALSE
191,NA,1270,37.4,2006-06-20,2006,6,"0620",2614,"MN_MPCA_CHEM_1999_2012",1.2,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
193,13,NA,1.3099999,2002-07-17,2002,7,"0717",2685,"VT_DWQ_NUTRIENT",1.5,3,"HU4_7",FALSE,TRUE,FALSE,TRUE,FALSE
194,NA,NA,NA,1990-08-08,1990,8,"0808",2715,"VT_DWQ_NUTRIENT",1.5,1,"HU4_5",FALSE,TRUE,FALSE,TRUE,TRUE
195,19,NA,NA,1996-07-16,1996,7,"0716",2727,"VT_DWQ_NUTRIENT",1.6,2,"HU4_7",FALSE,FALSE,FALSE,TRUE,TRUE
196,NA,NA,20,1999-06-25,1999,6,"0625",2730,"MN_MPCA_CHEM_1999_2012",0.76,2,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
197,NA,NA,5.7,1999-06-16,1999,6,"0616",2893,"MN_MPCA_CHEM_1999_2012",2.44,2,"HU4_25",TRUE,FALSE,FALSE,FALSE,TRUE
198,5,NA,0.5,2001-06-21,2001,6,"0621",2958,"VT_DWQ_NUTRIENT",NA,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
199,NA,NA,2,2008-07-13,2008,7,"0713",2971,"MN_MPCA_CHEM_1999_2012",0.61,2,"HU4_55",FALSE,TRUE,TRUE,TRUE,FALSE
200,NA,NA,19,2011-06-21,2011,6,"0621",2975,"MN_MPCA_CHEM_1999_2012",0.5,2,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
203,60,NA,15,1991-06-19,1991,6,"0619",2995,"MN_MPCA_CHEM",2,3,"HU4_53",FALSE,TRUE,TRUE,TRUE,TRUE
205,6.1199999,NA,NA,2006-07-20,2006,7,"0720",3198,"VT_DWQ_NUTRIENT",6.0100002,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
209,12,NA,1.3,2003-08-29,2003,8,"0829",3231,"VT_DWQ_NUTRIENT",NA,2,"HU4_5",FALSE,TRUE,FALSE,TRUE,TRUE
211,8,715,3.9400001,1990-06-22,1990,6,"0622",3998,"VT_DWQ_NUTRIENT",2.9000001,4,"HU4_5",FALSE,TRUE,FALSE,TRUE,TRUE
213,12,460,2.88,1995-06-21,1995,6,"0621",6406,"MN_MPCA_CHEM",2.7,4,"HU4_26",FALSE,TRUE,FALSE,FALSE,FALSE
217,12,400,3,2000-07-10,2000,7,"0710",6454,"MN_GPR_CHEM",NA,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,FALSE
219,399,NA,17.2,2008-06-18,2008,6,"0618",6491,"WI_DNR_NUTRIENT",0.4,3,"HU4_32",FALSE,FALSE,FALSE,TRUE,TRUE
222,NA,NA,4,2009-07-15,2009,7,"0715",6509,"MN_MPCA_CHEM_1999_2012",1.8,2,"HU4_53",FALSE,TRUE,TRUE,TRUE,FALSE
223,NA,NA,NA,2011-09-13,NA,NA,NA,NA,NA,0.6,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
225,17,NA,3.0999999,2002-08-14,2002,8,"0814",6522,"VT_DWQ_NUTRIENT",2.3,3,"HU4_7",FALSE,FALSE,FALSE,TRUE,TRUE
226,10,368,0.8,1991-07-24,1991,7,"0724",6548,"MN_MPCA_CHEM",4,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
228,NA,NA,6.8,1999-06-16,1999,6,"0616",6567,"MN_MPCA_CHEM_1999_2012",0.91,2,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
230,4,954,NA,1992-07-22,1992,7,"0722",6594,"WI_DNR_NUTRIENT",10,3,"HU4_55",TRUE,TRUE,TRUE,TRUE,TRUE
231,11.3999996,NA,1.7,2005-07-13,2005,7,"0713",6619,"VT_DWQ_NUTRIENT",0.9,3,"HU4_7",FALSE,TRUE,FALSE,TRUE,FALSE
232,37,NA,NA,1993-07-19,1993,7,"0719",6620,"WI_DNR_NUTRIENT",1,2,"HU4_29",FALSE,TRUE,FALSE,TRUE,TRUE
233,NA,NA,NA,2004-08-06,NA,NA,NA,NA,NA,3.66,1,"HU4_26",FALSE,FALSE,FALSE,FALSE,TRUE
236,100,NA,59,1990-07-09,1990,7,"0709",6627,"MN_MPCA_CHEM",0.6,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
237,14,171,0.75,1993-08-08,1993,8,"0808",6709,"MN_MPCA_CHEM",NA,3,"HU4_28",FALSE,FALSE,FALSE,FALSE,TRUE
239,21,NA,3.4000001,2002-06-19,2002,6,"0619",6715,"VT_DWQ_NUTRIENT",3.5,3,"HU4_7",FALSE,FALSE,FALSE,TRUE,TRUE
240,14,NA,6.45,2008-06-16,2008,6,"0616",6719,"MN_SENTINEL",2.1,3,"HU4_26",FALSE,TRUE,FALSE,FALSE,FALSE
241,10.1000004,NA,NA,2006-07-13,2006,7,"0713",6836,"VT_DWQ_NUTRIENT",3.5,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
242,13,NA,1.3,2002-06-26,2002,6,"0626",6850,"VT_DWQ_NUTRIENT",4,3,"HU4_7",FALSE,FALSE,FALSE,TRUE,TRUE
245,18,NA,3.74,2011-07-20,2011,7,"0720",6856,"WI_DNR_NUTRIENT",NA,2,"HU4_36",FALSE,TRUE,TRUE,TRUE,TRUE
246,7,280,2.6,1996-08-30,1996,8,"0830",6857,"ME_ANP_post_2006",4.8,4,"HU4_3",TRUE,TRUE,FALSE,TRUE,FALSE
249,56,650,4.6900001,1992-06-23,1992,6,"0623",6925,"VT_DWQ_NUTRIENT",0.5,4,"HU4_5",TRUE,TRUE,FALSE,TRUE,TRUE
251,NA,NA,7,2005-06-16,2005,6,"0616",7232,"MN_MPCA_CHEM_1999_2012",4.3,2,"HU4_29",FALSE,TRUE,FALSE,TRUE,FALSE
252,75,NA,3.17,1997-07-31,1997,7,"0731",7293,"MN_MPCA_CHEM",2.2,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,TRUE
254,5,1200,6,1999-06-28,1999,6,"0628",7298,"MN_GPR_CHEM",NA,3,"HU4_28",FALSE,FALSE,FALSE,FALSE,TRUE
255,27,NA,6.49,1998-08-05,1998,8,"0805",7340,"MN_MPCA_CHEM",NA,2,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
